slug,title,category,tags,summary,col_labels,compare_rows,article_title,article_lead,exam_points,common_mistakes,memory_tip,related_terms,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer
shitei-suryo-cmp-s36,指定数量：指定数量と指定数量の倍数の比較（S36）,法令・制度,指定数量;指定数量の倍数,指定数量（実務連動）として指定数量と指定数量の倍数の関係を整理します。,指定数量;指定数量の倍数,"[{""axis"": ""区分"", ""cols"": [""指定数量の基準"", ""指定数量の倍数の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「指定数量＝指定数量の倍数」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",指定数量：指定数量と指定数量の倍数の比較（S36）｜乙4,指定数量（実務連動）として指定数量と指定数量の倍数の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,指定数量と指定数量の倍数を分離;指定数量;設備基準;試験の正誤肢に注意,指定数量＝指定数量の倍数;基準同一;倍数無視;試験の正誤肢に注意,「指定数量と指定数量の倍数を分ける」。,指定数量;指定数量の倍数,指定数量の要点は？,指定数量（実務連動）として指定数量と指定数量の倍数の関係を整理します。指定数量の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,指定数量の倍数との違いは？,指定数量の倍数は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
chozo-sho-cmp-s36,貯蔵所：タンク貯蔵所と屋外タンク貯蔵所の比較（S36）,法令・制度,タンク貯蔵所;屋外タンク貯蔵所,貯蔵所（実務連動）としてタンク貯蔵所と屋外タンク貯蔵所の関係を整理します。,タンク貯蔵所;屋外タンク貯蔵所,"[{""axis"": ""区分"", ""cols"": [""タンク貯蔵所の基準"", ""屋外タンク貯蔵所の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「タンク貯蔵所＝屋外タンク貯蔵所」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",貯蔵所：タンク貯蔵所と屋外タンク貯蔵所の比較（S36）｜乙4,貯蔵所（実務連動）としてタンク貯蔵所と屋外タンク貯蔵所の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,タンク貯蔵所と屋外タンク貯蔵所を分離;指定数量;設備基準;試験の正誤肢に注意,タンク貯蔵所＝屋外タンク貯蔵所;基準同一;倍数無視;試験の正誤肢に注意,「タンク貯蔵所と屋外タンク貯蔵所を分ける」。,タンク貯蔵所;屋外タンク貯蔵所,タンク貯蔵所の要点は？,貯蔵所（実務連動）としてタンク貯蔵所と屋外タンク貯蔵所の関係を整理します。タンク貯蔵所の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,屋外タンク貯蔵所との違いは？,屋外タンク貯蔵所は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
ido-ukewatashi-cmp-s36,移動：移送と譲渡・引渡しの比較（S36）,法令・制度,移送;譲渡・引渡し,移動（実務連動）として移送と譲渡・引渡しの関係を整理します。,移送;譲渡・引渡し,"[{""axis"": ""区分"", ""cols"": [""移送の基準"", ""譲渡・引渡しの基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「移送＝譲渡・引渡し」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",移動：移送と譲渡・引渡しの比較（S36）｜乙4,移動（実務連動）として移送と譲渡・引渡しの関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,移送と譲渡・引渡しを分離;指定数量;設備基準;試験の正誤肢に注意,移送＝譲渡・引渡し;基準同一;倍数無視;試験の正誤肢に注意,「移送と譲渡・引渡しを分ける」。,移送;譲渡・引渡し,移送の要点は？,移動（実務連動）として移送と譲渡・引渡しの関係を整理します。移送の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,譲渡・引渡しとの違いは？,譲渡・引渡しは別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
hoan-kitei-cmp-s36,保安規程：予防規程と火災予防の比較（S36）,法令・制度,予防規程;火災予防,保安規程（実務連動）として予防規程と火災予防の関係を整理します。,予防規程;火災予防,"[{""axis"": ""区分"", ""cols"": [""予防規程の基準"", ""火災予防の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「予防規程＝火災予防」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",保安規程：予防規程と火災予防の比較（S36）｜乙4,保安規程（実務連動）として予防規程と火災予防の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,予防規程と火災予防を分離;指定数量;設備基準;試験の正誤肢に注意,予防規程＝火災予防;基準同一;倍数無視;試験の正誤肢に注意,「予防規程と火災予防を分ける」。,予防規程;火災予防,予防規程の要点は？,保安規程（実務連動）として予防規程と火災予防の関係を整理します。予防規程の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,火災予防との違いは？,火災予防は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
shoka-cmp-s36,消火：消火設備と消火活動の比較（S36）,火災・消火・漏えい,消火設備;消火活動,消火（実務連動）として消火設備と消火活動の関係を整理します。,消火設備;消火活動,"[{""axis"": ""区分"", ""cols"": [""消火設備の基準"", ""消火活動の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「消火設備＝消火活動」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",消火：消火設備と消火活動の比較（S36）｜乙4,消火（実務連動）として消火設備と消火活動の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,消火設備と消火活動を分離;指定数量;設備基準;試験の正誤肢に注意,消火設備＝消火活動;基準同一;倍数無視;試験の正誤肢に注意,「消火設備と消火活動を分ける」。,消火設備;消火活動,消火設備の要点は？,消火（実務連動）として消火設備と消火活動の関係を整理します。消火設備の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,消火活動との違いは？,消火活動は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
tank-cmp-s36,タンク：タンクローリーと移動タンク貯蔵所の比較（S36）,法令・制度,タンクローリー;移動タンク貯蔵所,タンク（実務連動）としてタンクローリーと移動タンク貯蔵所の関係を整理します。,タンクローリー;移動タンク貯蔵所,"[{""axis"": ""区分"", ""cols"": [""タンクローリーの基準"", ""移動タンク貯蔵所の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「タンクローリー＝移動タンク貯蔵所」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",タンク：タンクローリーと移動タンク貯蔵所の比較（S36）｜乙4,タンク（実務連動）としてタンクローリーと移動タンク貯蔵所の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,タンクローリーと移動タンク貯蔵所を分離;指定数量;設備基準;試験の正誤肢に注意,タンクローリー＝移動タンク貯蔵所;基準同一;倍数無視;試験の正誤肢に注意,「タンクローリーと移動タンク貯蔵所を分ける」。,タンクローリー;移動タンク貯蔵所,タンクローリーの要点は？,タンク（実務連動）としてタンクローリーと移動タンク貯蔵所の関係を整理します。タンクローリーの定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,移動タンク貯蔵所との違いは？,移動タンク貯蔵所は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
tensou-kiroku-cmp-s36,転送記録：譲渡・引渡しの届出と移送の比較（S36）,法令・制度,譲渡・引渡しの届出;移送,転送記録（実務連動）として譲渡・引渡しの届出と移送の関係を整理します。,譲渡・引渡しの届出;移送,"[{""axis"": ""区分"", ""cols"": [""譲渡・引渡しの届出の基準"", ""移送の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「譲渡・引渡しの届出＝移送」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",転送記録：譲渡・引渡しの届出と移送の比較（S36）｜乙4,転送記録（実務連動）として譲渡・引渡しの届出と移送の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,譲渡・引渡しの届出と移送を分離;指定数量;設備基準;試験の正誤肢に注意,譲渡・引渡しの届出＝移送;基準同一;倍数無視;試験の正誤肢に注意,「譲渡・引渡しの届出と移送を分ける」。,譲渡・引渡しの届出;移送,譲渡・引渡しの届出の要点は？,転送記録（実務連動）として譲渡・引渡しの届出と移送の関係を整理します。譲渡・引渡しの届出の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,移送との違いは？,移送は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
ot4-shiken-cmp-s36,乙4試験：危険物取扱者と乙種危険物取扱者の比較（S36）,法令・制度,危険物取扱者;乙種危険物取扱者,乙4試験（実務連動）として危険物取扱者と乙種危険物取扱者の関係を整理します。,危険物取扱者;乙種危険物取扱者,"[{""axis"": ""区分"", ""cols"": [""危険物取扱者の基準"", ""乙種危険物取扱者の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「危険物取扱者＝乙種危険物取扱者」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",乙4試験：危険物取扱者と乙種危険物取扱者の比較（S36）｜乙4,乙4試験（実務連動）として危険物取扱者と乙種危険物取扱者の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,危険物取扱者と乙種危険物取扱者を分離;指定数量;設備基準;試験の正誤肢に注意,危険物取扱者＝乙種危険物取扱者;基準同一;倍数無視;試験の正誤肢に注意,「危険物取扱者と乙種危険物取扱者を分ける」。,危険物取扱者;乙種危険物取扱者,危険物取扱者の要点は？,乙4試験（実務連動）として危険物取扱者と乙種危険物取扱者の関係を整理します。危険物取扱者の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,乙種危険物取扱者との違いは？,乙種危険物取扱者は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
kiken-toriatsukai-cmp-s37,危険物取扱：危険物取扱者と危険物保安監督者の比較（S37）,法令・制度,危険物取扱者;危険物保安監督者,危険物取扱（試験頻出）として危険物取扱者と危険物保安監督者の関係を整理します。,危険物取扱者;危険物保安監督者,"[{""axis"": ""区分"", ""cols"": [""危険物取扱者の基準"", ""危険物保安監督者の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「危険物取扱者＝危険物保安監督者」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",危険物取扱：危険物取扱者と危険物保安監督者の比較（S37）｜乙4,危険物取扱（試験頻出）として危険物取扱者と危険物保安監督者の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,危険物取扱者と危険物保安監督者を分離;指定数量;設備基準;試験の正誤肢に注意,危険物取扱者＝危険物保安監督者;基準同一;倍数無視;試験の正誤肢に注意,「危険物取扱者と危険物保安監督者を分ける」。,危険物取扱者;危険物保安監督者,危険物取扱者の要点は？,危険物取扱（試験頻出）として危険物取扱者と危険物保安監督者の関係を整理します。危険物取扱者の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,危険物保安監督者との違いは？,危険物保安監督者は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
shobou-hou-cmp-s37,消防法：消防法と火災予防の比較（S37）,法令・制度,消防法;火災予防,消防法（試験頻出）として消防法と火災予防の関係を整理します。,消防法;火災予防,"[{""axis"": ""区分"", ""cols"": [""消防法の基準"", ""火災予防の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「消防法＝火災予防」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",消防法：消防法と火災予防の比較（S37）｜乙4,消防法（試験頻出）として消防法と火災予防の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,消防法と火災予防を分離;指定数量;設備基準;試験の正誤肢に注意,消防法＝火災予防;基準同一;倍数無視;試験の正誤肢に注意,「消防法と火災予防を分ける」。,消防法;火災予防,消防法の要点は？,消防法（試験頻出）として消防法と火災予防の関係を整理します。消防法の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,火災予防との違いは？,火災予防は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
shitei-suryo-cmp-s37,指定数量：指定数量と指定数量の倍数の比較（S37）,法令・制度,指定数量;指定数量の倍数,指定数量（試験頻出）として指定数量と指定数量の倍数の関係を整理します。,指定数量;指定数量の倍数,"[{""axis"": ""区分"", ""cols"": [""指定数量の基準"", ""指定数量の倍数の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「指定数量＝指定数量の倍数」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",指定数量：指定数量と指定数量の倍数の比較（S37）｜乙4,指定数量（試験頻出）として指定数量と指定数量の倍数の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,指定数量と指定数量の倍数を分離;指定数量;設備基準;試験の正誤肢に注意,指定数量＝指定数量の倍数;基準同一;倍数無視;試験の正誤肢に注意,「指定数量と指定数量の倍数を分ける」。,指定数量;指定数量の倍数,指定数量の要点は？,指定数量（試験頻出）として指定数量と指定数量の倍数の関係を整理します。指定数量の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,指定数量の倍数との違いは？,指定数量の倍数は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
chozo-sho-cmp-s37,貯蔵所：タンク貯蔵所と屋外タンク貯蔵所の比較（S37）,法令・制度,タンク貯蔵所;屋外タンク貯蔵所,貯蔵所（試験頻出）としてタンク貯蔵所と屋外タンク貯蔵所の関係を整理します。,タンク貯蔵所;屋外タンク貯蔵所,"[{""axis"": ""区分"", ""cols"": [""タンク貯蔵所の基準"", ""屋外タンク貯蔵所の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「タンク貯蔵所＝屋外タンク貯蔵所」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",貯蔵所：タンク貯蔵所と屋外タンク貯蔵所の比較（S37）｜乙4,貯蔵所（試験頻出）としてタンク貯蔵所と屋外タンク貯蔵所の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,タンク貯蔵所と屋外タンク貯蔵所を分離;指定数量;設備基準;試験の正誤肢に注意,タンク貯蔵所＝屋外タンク貯蔵所;基準同一;倍数無視;試験の正誤肢に注意,「タンク貯蔵所と屋外タンク貯蔵所を分ける」。,タンク貯蔵所;屋外タンク貯蔵所,タンク貯蔵所の要点は？,貯蔵所（試験頻出）としてタンク貯蔵所と屋外タンク貯蔵所の関係を整理します。タンク貯蔵所の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,屋外タンク貯蔵所との違いは？,屋外タンク貯蔵所は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
